Prompt,,Student Response,,I/B/C,,Thesis,,Topic,,Coherence,,Transition,,Main Idea,,Supporting Idea,,Style,,Usage,,Critique,//
Parents are the best teacher.,::,"<IN><TS>Generally, children learn a lot of knowleadge from their parents. <TR>However</TR>, I disagree with that parents are the best teacher, since there are some problems for parents to teach their children. <TR>For instance</TR>, most parents have a limited quality of knowleadge and a limited suppy of free time to teach thier own children. So I strongly believe that teachers are more good at teaching children.</TS></IN>

<BO1><MI1><TR>First</TR>, many parensts are not specialized on teaching someone else.</MI1> <SI1>Some of them might have only basic knowleadge which is not enough to teach their children. <EX><TR>For example</TR>, a boy who wants to know thow to differntiate, and if his parents haven't learned differnetiation, he will be not able to learn it from his parents.</EX> <TR>However</TR>, a Mathematics teacher can teach the boy about not only differentiation but also integration, because he or she has mathematical knowleadge. Since teachers uaually have a higher level of knowleadge, teachers are more helpful for children.</SI1></BO1>

<BO2><MI2><TR>Second</TR>, most of parents are too busy for doing their jobs.</MI2> <SI2>They don't even have time for having conversation with their children. <TR>On the other hand</TR>, teachers are always waiting for children to teach them about what they know. They also want to help children about anything. For teachers, teaching children is their job. They are trained to educate children which means they are the best teachers. <TR>Recently</TR>, both Mom and Dad are working in the number of families, which makes it harder for them to teach their children.</SI2></BO2>

<CO><TR>In conclusion</TR>, I disagree with that parents are the best teacher. They don't have much knowleadge to teach special fields such as Biology, Chemistry, Accounting and so on. They are not free enough from their jobs or housework to help their children. Well- trained teachers, who love children as much as children's parents, are the best teachers in the world.</CO>",::,5,::,3,::,4,::,4,::,3,::,4,::,4,::,4,::,3,::,"This is an above average quality essay. The is no real structure or balance to move the essay from one portion of the essay to the next. The thesis statement is only partially complete as it either makes only a position or provides a preview of the main points, not both as required. There are minimal and inadequate transitions in this essay hurting the flow of the essay. The main ideas in the body paragraphs are forceful and support the thesis statement but have trouble connecting through to the conclusion. The supporing ideas in the body paragraphs are forceful and support the thesis statement but have trouble connecting through to the conclusion. There were many word choice issues as well as errors in punctuation and grammar.",//
 Do you agree or disagree with the following statement? Grades (marks) encourage students to learn. Use specific reasons and examples to support your opinion.,::,"<IN><TS>Grades denote student statements of the studying. Statement of the student is significant for student who receives good grades or middle grades or bad grades. I consider that grades are not all but important things because they are almostly impartial consequence.</TS></IN>

<BO1><MI1><TR>Firstly</TR>. Grades can give student the pleasing.</MI1> <SI1>It activate to student to encourage studying. The students who take mathmatics grade A are happpy because that is a fair consequence for their effort. And then they can determine that in more much effort they will be good student than now.</SI1></BO1>

<BO2><MI2><TR>Secondly</TR>. On the other hand, there are pupils.</MI2> <SI2>They might be study a little or nothing. they also receive impartial consequence for their efforts. they maybe sad or nonchalant. Sad students must resolve the problem. And then if they want. they can be good students. The others indifferent students and not resolving the problem are not almost solved by grades and other.</SI2></BO2>

<CO>Marks for students are always accompanied during student periods. Students who receive this fact can be good students . They are genious not sagacious. They will know the quality of efforts and theirselves happyness. This is actually expensive for students.</CO>",::,3,::,3,::,3,::,4,::,4,::,4,::,2,::,3,::,3,::,"This is a below average quality essay. There is minimal structure between the parts of the essay to move the essay from the introduction thru to the conclusion. The thesis statement is only partially complete as it either makes only a position or provides a preview of the main points, not both as required. There is an adequate number of transitions in this essay though not optimal. Either too many or too few transitions can get in the way or otherwise detract from the reading of this essay. The main ideas in the body paragraphs are forceful and support the thesis statement but have trouble connecting through to the conclusion. There are no examples in this essay. The supporting points are much too vague and lacking in strength. There were many word choice issues as well as errors in punctuation and grammar.",//
Some people believe that a college or university education should be available to all students. Others believe that higher education should be available only to good students. Discuss these view. Which view do you agree with? Explain why.,::,"<IN><TS>Here in Korea, to enter a college or university, students stay up nights and go into the dog eat do world. The thing is students are only concerning on getting high scores and it eventually turns into no good to anyone. If a good student in this above statement means that of korea, I don't agree with a statement that only a good student should be allowed to get high-level education.</TS></IN>

<BO1><MI1><TR>To begin with</TR>, What is a good student?</MI1> <SI1><TR> I am sure that a good student is the person who is eager to learn no matter how his or her grade is good because the point is how arduous they are. <EX><TR>For example</TR>, a good student in korea is the one having good number on their report card.</EX> I've seen a lot of them whom are so used to choosing right answers on exams without knowing and even thinking the procedures. <TR>Thus</TR>, I believe the chance of education should go to everyone who wants to learn even if the person is not titled as a good student.</SI1></BO1>

<BO2><MI2><TR>Additionally</TR>, endowing the chance of learning to all is an important factor which leads into whole nation grows.</MI2> <SI2>Being taught by academically, social members in a country will form their values through education generally. The one that has given the chance to people to learn is a country but after all, the one that will get its result is a nation itself. Once I read a article about a man who was so poor in his childhood that couldn't get the proper education. <TR>However</TR>, with the help of government, succeeding all academic courses, gives back all the money he has earn to his patron. Similarly, investing the money to grow the person who needs to country is not useless.</SI2></BO2>

<CO><TR>To sum up</TR>,&nbsp;&nbsp;when it comes to high education, I believe, the chance should go to all equally because it is a wise way of invest for the purpose of growing the intelligent, and also nourishing a real good student without the matters of number.</CO>",::,4,::,3,::,4,::,4,::,3,::,4,::,4,::,4,::,3,::,"This is an above average quality essay. There is adequate structure between the parts of the essay to move the essay from the introduction thru to the conclusion. The thesis statement is only partially complete as it either makes only a position or provides a preview of the main points, not both as required. There are minimal and inadequate transitions in this essay hurting the flow of the essay. The main ideas in the body paragraphs are forceful and support the thesis statement but have trouble connecting through to the conclusion. The supporing ideas in the body paragraphs are forceful and support the thesis statement but have trouble connecting through to the conclusion. There were many word choice issues as well as errors in punctuation and grammar.",//
Some people prefer to live in a small town. Others prefer to live in a big city. Which place would you prefer to live in?,::,"<IN><TS>I have lived here, a small town since family came near the Seoul. While Seoul is big city, my town, Suwon is so old and small city but developing. Many people like to live in a big city like Seoul, <TR>However</TR> others hope to live in a small town, like me. Although both them have good parts, more people live to a small village as it has clean environment and kind neighbors.</TS></IN>

<BO1><MI1>Big cities have lots factories, transportations and apartments where people live.</MI1> <SI1>Most factories and methods of transportation make bad air and contribute to the pollution. Also people take out their fluent garbage. Otherwise small towns have a little them relativity. In my case, I felt very pollution in there when I went to go big city. In my nose, it is very dirty and has black dust. My collar became the black by polluting materials. But in my town, I need not clean my shirts everyday.</SI1></BO1>

<BO2><MI2> We will meet very kind people when I live in a small town.</MI2> <SI2>Nowadays many people do not greet to neighbors and even they do not know who live next door. When my family moved to now home, neighborhood came to my home firstly and say hello to us. They sometimes gave us their making food. When I had a celebrating for graduation, they gave a pleasure to me and were happy with my family.</SI2></BO2>

<CO>I heard that many older persons want to live in a small town and go to the hometown. Most hometowns are so small. As these towns give fresh air and have more chances to meet kind people. So I would like to live in a small town if I have chance to select my habitat.</CO>",::,3,::,3,::,4,::,4,::,2,::,3,::,2,::,4,::,3,::,"This is a below average quality essay. The is no real structure or balance to move the essay from one portion of the essay to the next. The thesis statement is only partially complete as it either makes only a position or provides a preview of the main points, not both as required. There are minimal and inadequate transitions in this essay hurting the flow of the essay. The main ideas in the body paragraphs are still a bit vague and do not have sufficient strength to support the thesis.  There are no examples in this essay. The supporting points are much too vague and lacking in strength. There were many word choice issues as well as errors in punctuation and grammar.",//
 It is sometimes said that borrowing money from a friend can harm or damage the friendship. Do you agree or disagree?,::,"<IN><TS>I oppose that borrowing money from friends can harm my friendship. It is because that lending money from them may be a great solution for my financial situation and paying back their money shows my responsibility.</TS></IN>
 
<BO1><MI1><TR>To begin with</TR>, borrowing money from my friends is sometimes very helpful, especially, for the emergent situation.</MI1> <SI1><EX><TR>For example</TR>, last Christmas season, I was at a shopping mall looking for the Christmas gifts for my parents.</EX> Accidentally, I lost my debit card there. Because the day was Dec.24th, it was the only time to buy the gifts. <TR>Thus</TR>, I borrowed money from my friends and I was able to finish my shopping on the same day. In other words, with the money that I borrowed from them, I solved an unexpected problem.</SI1></BO1>

<BO2><MI2><TR>Moreover</TR>, as I pay back the money, I may become a responsible person.</MI2> <SI2>If I do not pay back their money on time, I will be blamed and my friendship will be harmed. On the other hand, repaying the money will show how I feel about their aid. <EX><TR>For instance</TR>, after the last Christmas season, I pay backed the money to my friends right away. I even added interest because I really appreciated their help.</EX> My friends were also surprised by my behavior and impressed. My experience shows another advantage of borrowing money from the friends.</SI2></BO2>

<CO>From what has been mentioned above, I strongly oppose the idea: borrowing money form a friend can harm the friendship. I do not believe that money, which belongs to a human-made substance, is much less important than any abstract subjects, my friendship.</CO>",::,3,::,3,::,4,::,4,::,3,::,4,::,4,::,3,::,3,::,"This is a below average quality essay. There is minimal structure between the parts of the essay to move the essay from the introduction thru to the conclusion. The thesis statement is only partially complete as it either makes only a position or provides a preview of the main points, not both as required. There are minimal and inadequate transitions in this essay hurting the flow of the essay. The main ideas in the body paragraphs are forceful and support the thesis statement but have trouble connecting through to the conclusion. The supporing ideas in the body paragraphs are forceful and support the thesis statement but have trouble connecting through to the conclusion. There were many word choice issues as well as errors in punctuation and grammar.",//
"You have been told that dormitory rooms at your university must be shared by two students. Would you rather have the university assign a student to share a room with you, or would you rather choose your own roommate? Use specific reasons and details to explain your answer.",::,"<IN><TS>If I decided to live in dormitory, I would rather have the university assign a student to share a room with me. Some people might think it would be uncomfortable to share a room with someone unknown. And they would possibly prefer to choose their own roommate. <TR>However</TR>, I still can see some merits to share a room with an unfamiliar person.</TS></IN>

<BO1><MI1><TR>Obviously</TR>, it would not be easy to live with a stranger.</MI1> <SI1><TR>At first</TR>, I would feel awkward. But I could use this situation as an opportunity. I mean, as we know, I can hardly get a chance to live with someone unknown. <TR>Actually</TR>, In my case, I have never lived with someone, who is not my family member. So If I had shared a room with someone unknown, I would be able to learn how to live with people cooperatively. <EX><TR>In other words</TR>, I would be more considerate and tolerate so as to get along with her well.</EX> This experience would be very valuable in my life. Sometimes, my individualistic characteristic can appear to others as indifferent. But If I had a chance to regard for other's feeling deliberately, I guess that would be helpful to improve my characteristics positively.</SI1></BO1>

<BO2><MI2>&nbsp;&nbsp;And there is another reason I would have a university assign a student as my roommate.</MI2> <SI2>I have seen so many cases, once friends lived together, and <TR>Then</TR> they had big conflicts. <TR>Finally</TR>, they stop keeping touch each other. If I chose my roommate, I would definately want to live with my friend because I would not need to take care of my roommate too much. I could freely behave and relax in my room. This was the biggest mistake of most of unhappy roommates. They wanted to live with a friend so as to feel comfortable. But this caused a lot of problems, because they did not take care of each other while they were in the same room. Frankly speaking, I guess I would make the same mistake if I were in that situation. And I do not have any confidence to make much efforts on living with my friend harmoniously. I think this is ironic. I feel so free to be with my friend so I can hardly take care of her a lot. So I would rather prefer living with a student assigned by a university.</SI2></BO2>

<CO><TR>In conclusion</TR>, there is no doubt that living with someone is difficult. But after the time, I am certain we would be able to learn something significant. In my case, I guess I would be able to learn how to respect other's feelings and get along with other cooperatively. Even though, there must be some disadvantages to share a room with a student assigned by a university, I would like to try this. That is because I believe this would bring me more desirable effects.</CO>",::,4,::,2,::,4,::,4,::,2,::,3,::,4,::,5,::,3,::,This is a below average quality essay. There is adequate structure between the parts of the essay to move the essay from the introduction thru to the conclusion. The thesis is fragmented and separated throughout the introduction and does not constitute a statement. There are minimal and inadequate transitions in this essay hurting the flow of the essay. The main ideas in the body paragraphs are still a bit vague and do not have sufficient strength to support the thesis.  The supporing ideas in the body paragraphs are forceful and support the thesis statement but have trouble connecting through to the conclusion. There were many word choice issues as well as errors in punctuation and grammar.,//
" Imagine that you are preparing for a trip. You plan to be away from your home for a year. In addition to clothing and personal care items, you can take one additional thing. What would you take and why? Use specific reasons and details to support your choice.",::,"<IN><TS>If I have a chance to be away from my home for a year, I would like to take a laptop computer besides clothing and personal care items. A computer is very important in my life and all of my daily activities are going on with my not book computer. Through several definite examples, I will demonstrate that a laptop computer is the best thing that I would like to bring with me for my a-year trip.</TS></IN>

<BO1><MI1><TR>First</TR>, I can mail to my family and friends using my laptop computer.</MI1> <SI1>With the help of the Internet, it is very easy to correspond with my family and friends. Once I was in Canada for 1 year, I used to use e-mail to contact my family and friends. It is very fast and cheap. <TR>Besides</TR>, there are some kinds of messenger service, which enable people to chat in the Internet. I usually chat with my family and friends with messenger service. It is free of charge and real time.</SI1></BO1>

<BO2><MI2><TR>Moreover</TR>, it is very easy to get the travel site information through the Internet.</MI2> <SI2>There are a lot of web sites that are provided by travelers, travel companies and local government agencies. I can make a use of it not only for gathering the general site information but also for cutting down my travel expense by adopting the best way to travel, which a lot of former travelers have been experienced. Before taking a trip, I usually visit website to get information. But for a 1-year-long trip, I would like to bring my laptop with me and check the information day by day whenever I want to move another place.</SI2></BO2>

<BO3><MI3><TR>Last but not least</TR>, I can record my journey. It is one of my hobbies to keep the record of my journey.</MI3> <SI3>There will be a lot of things that I want to memorize, but I cannot remember all happenings and all information. Using my laptop computer, I can write down my daily schedule, my feelings about the places that I visit or stay. After returning from the trip, it helps me to review and recall my trip.</SI3></BO3>

<CO><TR>To sum up</TR>, if I bring a laptop computer, I can have a lot of benefits from it. I can get a lot of information about the travel place, I can send and get mail easily, and I can keep the record of my journey. With these great advantages, why not take a laptop computer to your trip?</CO>",::,4,::,5,::,4,::,4,::,2,::,4,::,3,::,4,::,3,::,This is an above average quality essay. There is adequate structure between the parts of the essay to move the essay from the introduction thru to the conclusion. The thesis statement is complete with a position and a good preview of the main points as well as being strong.  There are minimal and inadequate transitions in this essay hurting the flow of the essay. The main ideas in the body paragraphs are forceful and support the thesis statement but have trouble connecting through to the conclusion. There are  very few examples in this essay. The supporting points are still a bit vague and do not have sufficient strength to support the main points.  There were many word choice issues as well as errors in punctuation and grammar.,//
 You have received a gift of money. The money is enough to buy either a piece of jewelry you like or tickets to a concert you want to attend. Which would you buy? Use specific reasons and details to support your answer.,::,"<IN><TS>If I received money as a gift from somebody, I would buy a piece of jewelry. There are several reasons why I want to buy the jewelry rather than to go the concert. Here I will demonstrate the reasons with definite examples.</TS></IN>

<BO1><MI1><TR>First</TR>, a piece of jewerly can be a fortune.</MI1> <SI1>Anybody has a possibility to be in difficulties in his/her life. When people are financially trapped, they can sell the jewelry they own to have a liquidity. <EX><TR>For example</TR>, when I was a high school student, my father's business was almost bankrupt due to korea's financial recession.</EX> At that time, many people in korea lost their jobs and business owners downsized their companies and employees. My father was no exception. <TR>However</TR>, the jewrly my mother possessed helped my father to save his business. From this exprience, I realized the jewerly is valuable for our rainy days. <TR>Therefore</TR>, I prefer buying a piece of jewelry to attending concert.</SI1></BO1>

<BO2><MI2><TR>Second</TR>, I can watch the concert on TV even though it is not vivider than on the spot.</MI2> <SI2>As the technology in audios and videos is getting developed, we have better chances to see&nbsp;&nbsp;performances and listen to the music through the media than ever. Whenever we turn on the TV, we can meet many celebrities who we may wish to meet. <TR>For instance</TR>, when I went to the concert of Jo Sung-mo, one of the most famous singers in Korea a few years ago, I was really disapointed because I was too far from the stage to see and enjoy the concert. Watching it on TV was much better at that time. <TR>Therefore</TR>, I would rather buy the jewerly than go to the concert.</SI2></BO2>

<CO><TR>In short</TR>, If I have a money received from someone as a gift, I would buy the jewerley because I can use it when I have a financial difficulty. <TR>In addition</TR>, I can enjoy the concert through TV or radio.</CO>",::,4,::,2,::,4,::,4,::,3,::,4,::,4,::,4,::,3,::,This is an above average quality essay. There is adequate structure between the parts of the essay to move the essay from the introduction thru to the conclusion. The thesis is fragmented and separated throughout the introduction and does not constitute a statement. There are minimal and inadequate transitions in this essay hurting the flow of the essay. The main ideas in the body paragraphs are forceful and support the thesis statement but have trouble connecting through to the conclusion. The supporing ideas in the body paragraphs are forceful and support the thesis statement but have trouble connecting through to the conclusion. There were many word choice issues as well as errors in punctuation and grammar.,//
Your school has received a gift of money. What do you think is the best way for your school to spend this money? Use specific reasons and details to support your choice.,::,"<IN><TS>If my school has received a gift of money, I recomme my school to spend this money in the exchange of the old computers. I think in university it is the most effective way to invest money in the computer systems. There are three reasons: we can accquire the information fast through the computer, and the computer make us do various tasks, and we can get the job easily for the computers.</TS></IN>

<BO1><MI1><TR>To begin with</TR>, I recommend my school to spend this money in the exchange of the old computers.</MI1> <SI1><TR>Nowadays</TR>, the importance of getting information is increasing greatly. Today is the day of the imformation. Especially, through the Internet we can get a variety of the information fast and wide. <TR>However</TR>, the computer systems in my university are so out of date that I can not obtain the information fast. Many students in the university complain about the slowness of the Internet due to the out of date computers. <TR>Therefore</TR>, I strongly believe that the brand new computers can make it possible for us to get the informatio fast and wide, and this can add to the prestige of my unversity.</SI1></BO1>

<BO2><MI2>Apart from the covenience of the Internet, the new computer can make the students do a lot of things.</MI2> <SI2>There are many things for us to do by computers. As a whole, most of the students make the reports by computers, and some of the students use the computers for their graphic designs. <TR>However</TR>, the brand new computers are so expensive that many students can not afford to buy it. As for my university, although the computers system is rather out of date, many students want to use this. <TR>Thus</TR>, the computer rooms are always packed with the students, and many students wasted their time in waiting the lines. <TR>Therefore</TR>, I recommend my school should buy more computers to satisfy the need of the students.</SI2></BO2>

<BO3><MI3><TR>Finally</TR>, the computers are also useful for getting the job of the students.</MI3> <SI3><TR>Nowadays</TR>, many firms want to recruit those students who are expert in the computer skill. If my university is well furnished with the new computers, the students are able to get the precious experience with it. <TR>Thus</TR>, the students of my university get the more opportunity to have the good jobs.</SI3></BO3>

<CO><TR>To sum up</TR>, investing money in the computer systems is the most effective way in my university because we can accquire the information fast through the computers, and because the computers make us do various tasks, and because we can get the job easily. Why not buying the computers?</CO>",::,4,::,3,::,4,::,4,::,2,::,3,::,3,::,4,::,3,::,"This is a below average quality essay. There is adequate structure between the parts of the essay to move the essay from the introduction thru to the conclusion. The thesis statement is only partially complete as it either makes only a position or provides a preview of the main points, not both as required. There are minimal and inadequate transitions in this essay hurting the flow of the essay. The main ideas in the body paragraphs are still a bit vague and do not have sufficient strength to support the thesis.  There are  very few examples in this essay. The supporting points are still a bit vague and do not have sufficient strength to support the main points.  There were many word choice issues as well as errors in punctuation and grammar.",//
 Do you agree or disagree with the following statement? People are never satisfied with what they have; they always want something more or something different. Use specific reasons to support your answer.,::,"<IN><TS>In general, people are not satisfied with what they have. In many religions, because of this tendency, people can never feel happy. Perhaps, that is true. But the other side of the coin of the fact is that people have developed themselves so as to get something more. I mean this tendency encourages people to try harder to develop themselves in both positive way and negative way. So I think it is worth thinking about the reason people are never satisfied with what they have.</TS></IN>

<BO1><MI1><TR>Nowadays</TR>, it has been a boom of lottery in Korea.</MI1> <SI1><TR>Surprisingly, according to the statistics, there were some rich people, more than average, won the first prize. In other words, even though they were considered rich enough, they bought a lottery. Why is that?? I think it is because people normally compare a person, having something more or better than them, with themselves. <TR>Therefore</TR>, in spite of being considered rich, as long as there is more rich person, he or she can never be satisfied with what they have. Actually, most of human being has a kind of instinct to be better than others. So they can not give up trying to get more than others. In this respect, people can never reach the peak of their hope or goal in whole life.</SI1></BO1>

<BO2><MI2>In academic field, this tendency could play an important role.</MI2> <SI2>People want to know something more than others. They are never satisfied with what they have already known. So, they try to study many scientific aspects and social events. I guess people base this tendency on basic curiosity. When they are born, they do not have any knowledge of the world, such as the reason, if they touch hot water, they feel hurt. But as they are growing up, they have learnt a lot from experience or books. But these sources are also not enough to fulfill their basic curiosity. So because of their curiosity, people can never been satisfied with what they have already known. They need something new and different from previous knowledge.</SI2></BO2>

<CO><TR>In conclusion</TR>, it has both positive and negative aspects that people can not satisfied with what they have. But I think both aspects are kinds of basic human instinct. I mean people want to be better than someone else so they want to get something more. And also, people have much curiosity to know about the world so they try to have more knowledge. I think that is why people can never stop trying to get something more and different.</CO>",::,5,::,3,::,4,::,4,::,3,::,4,::,3,::,4,::,3,::,"This is an above average quality essay. The structure and balance of the essay between its parts move the essay from the introduction thru to the conclusion. The thesis statement is only partially complete as it either makes only a position or provides a preview of the main points, not both as required. There are minimal and inadequate transitions in this essay hurting the flow of the essay. The main ideas in the body paragraphs are forceful and support the thesis statement but have trouble connecting through to the conclusion. There are  very few examples in this essay. The supporting points are still a bit vague and do not have sufficient strength to support the main points.  There were many word choice issues as well as errors in punctuation and grammar.",//
Do you agree or disagree with the following statement? It is more important for students to study history and literature than it is for them to study science and mathematics. Use specific reasons and examples to support your opinion.,::,"<IN><TS>In general, the knowledge can be divided into two types: natural knowledge and social knowledge. Science and math are important components of former, while history and literature are essential parts of the latter. We may find that our personal interests draw us to one field of study more than any other. But I believe that no one can argue that it is more important to study any of these fields over the others.</TS></IN>
 
<BO1><MI1><TR>First</TR>, only complete knowledge can make a really knowledgeable man/woman.</MI1> <SI1>We know that the world consists of not only the object studied by the subject like science and math, but also invisible things studied by the subjects like history and literature. Lack of knowledge will lead to an incomplete view about the world. <EX><TR>For example</TR>, a student specializing in the mathematics will need in-depth understanding of philosophy and its history.</EX></SI1></BO1>

<BO2><MI2><TR>Secondly</TR>, the social knowledge and natural knowledge are both necessary for the continuation of our civilization.</MI2> <SI2>Science and mathematics form the foundation of all our physical structures. Without these fields we could not have buildings, automobiles, airplanes and all the myriad machines necessary for them to run successfully. <TR>However</TR>, without understanding of the world and humanism earned from the social knowledge, the civilization could be dangerous. As science develop, the horror of a mass destruction weapon is getting to increase. If we don’t learn the value of life from the literature and a risk of such weapon from the history, the third world war can happen on the earth again.</SI2></BO2>

<CO><TR>In conclusion</TR>, I disagree that it is more important for students to study history and literature than to study science and mathematics. The world and its history cannot be divided into neat categories. I think that it is essential to have a balance in the study of the natural and social knowledge.</CO>",::,4,::,3,::,4,::,4,::,3,::,3,::,4,::,4,::,3,::,"This is an above average quality essay. There is adequate structure between the parts of the essay to move the essay from the introduction thru to the conclusion. The thesis statement is only partially complete as it either makes only a position or provides a preview of the main points, not both as required. There are minimal and inadequate transitions in this essay hurting the flow of the essay. The main ideas in the body paragraphs are still a bit vague and do not have sufficient strength to support the thesis.  The supporing ideas in the body paragraphs are forceful and support the thesis statement but have trouble connecting through to the conclusion. There were many word choice issues as well as errors in punctuation and grammar.",//
Some high schools require all students to wear school uniforms. Other high schools permit students to decide what to wear to school. Which is better?,::,"<IN><TS>In Korea, most high school students have to wear school uniforms. <TR>However</TR>, I&nbsp;&nbsp;think that the students need to decide what to wear to school because it is part of education and the cost of uniforms is expensive.</TS></IN>

<BO1><MI1><TR>First</TR>, the students could learn about how to express themselves while they choose their clothes.</MI1> <SI1><TR> In general</TR>, clothes are very important in that people can know about others throughout not only their impression but also their clothes. <EX><TR>For example</TR>, if I met someone who wear jeans, I could guess that he likes comfortable things.</EX> <TR>Thus</TR>, people need to learn how to express themselves with clothes and what kind of design and color suit for themselves. Even though reading, writing and studying is more necessary for students, thinking about themselves is also important.</SI1></BO1>

<BO2><MI2><TR>Furthermore</TR>, some parents have to spend a lot of money to buy their children's uniform because it is very expensive.</MI2> <SI2>In Korea, the cost of uniforms is about two hundred thousand one and it is almost same as suits for adults. <TR>Also</TR>, students throw away their uniform after graduating school. If they wear freely, a lot of money could be saved or used for more effective things. When stuents have things which they like to wear anywhere, they could use them long enough.</SI2></BO2>

<CO>Even though school uniform have many merits, I think that students need to choose how to wear and think about what clothes suit for them because it is sort of learning themselves and they could save money. If Korean student wear as they want to do, they could feel more free about themselves.</CO>",::,3,::,3,::,3,::,4,::,4,::,4,::,4,::,4,::,3,::,"This is an above average quality essay. There is minimal structure between the parts of the essay to move the essay from the introduction thru to the conclusion. The thesis statement is only partially complete as it either makes only a position or provides a preview of the main points, not both as required. There is an adequate number of transitions in this essay though not optimal. Either too many or too few transitions can get in the way or otherwise detract from the reading of this essay. The main ideas in the body paragraphs are forceful and support the thesis statement but have trouble connecting through to the conclusion. The supporing ideas in the body paragraphs are forceful and support the thesis statement but have trouble connecting through to the conclusion. There were many word choice issues as well as errors in punctuation and grammar.",//
What are some important qualities of a good supervisor(boss)? Use specific reasons and examples why these qualities are important.,::,"<IN><TS>In our daily work of lives, we always have our supervisors who control us, scold us, and predict orders to us. And by them, our works can be enjoyable or hateful. So I think some important qualities which a good supervisor must have are objectiveness and a sense of responsibility among several qualities.</TS></IN>

<BO1><MI1><TR>First</TR>, a good and admirable supervisor should have objectiveness.</MI1> <SI1>In most our business lives, we are judged by the efforts that we have invested and the results that we have got. So unless they are judged objectively by the supervisor whom we work for, we cannot feel a sense of accomplishment and will not follow the orders from our boss. <TR>Then</TR> it will be evident that our work office or factory cannot get the progress because our effort and capability are not admitted well.</SI1></BO1>

<BO2><MI2><TR>Second</TR>, a sense of responsibility is needed to a good boss.</MI2> <SI2>We, as a human, do not everything perfectly and may fail or make a mistake. At that time, a good supervisor should be able to hide our small faults and even take all responsibility for us. In doing so, we will trust him and can work better for him.</SI2></BO2>

<CO>From these two reasons, I feel that a good supervisor should have both objectiveness and a sense of responsibility in order to lead his followers well. From him, we can learn the valuable things which we should know to become a good business man, and our work will be enjoyable working with him. Furthermore, we will be able to be the ideal model as a good boss to our would-be followers in the future.</CO>",::,3,::,3,::,4,::,4,::,2,::,3,::,2,::,3,::,3,::,"This is a below average quality essay. There is minimal structure between the parts of the essay to move the essay from the introduction thru to the conclusion. The thesis statement is only partially complete as it either makes only a position or provides a preview of the main points, not both as required. There are minimal and inadequate transitions in this essay hurting the flow of the essay. The main ideas in the body paragraphs are still a bit vague and do not have sufficient strength to support the thesis.  There are no examples in this essay. The supporting points are much too vague and lacking in strength. There were many word choice issues as well as errors in punctuation and grammar.",//
" In general, people are living longer now. Discuss the causes of this phenomenon. Use specific reasons and details to develop your essay.",::,"<IN><TS>In the consequence of technical development, things have changed a lot. So as to this change, human-beings live longer than the past. Of course there are a lot of reasons, I think both the improvement of medical techniques and the nutritional diet tables cause this phenomenon. To illustrate why I convince my point, I will treat only a few significant reasons with my vivid experience as follows.</TS></IN>

<BO1><MI1><TR>Above all<TR>, I want to point out break-though development in medical techniques.</MI1> <SI1><EX><TR>For example</TR>, according to a medical magazine, surveyed in 2003, human-beings' median life span is 88 years old.</EX> This scrutiny shows the life span has increased more 20 years than the past. It causes the development in treatment for patient. <TR>Therefore</TR>, I am of the idea that improved medical techniques help this phenomenon.</SI1></BO1>

<BO2><MI2> Another reason is eating habit.</MI2> <SI2>As human-being live in comfortable circumstance, they have concerned with the nutrition in foods. So, when people think of profusions, they often envision nutrition which these foods contain. And, they usually have habitual eating time for their health. <TR>In addition</TR>, they prefer to eat vegetables, rather than to eat meat. Because vegetables prevent fat, and enable people to clean their blood. In other words, to eat nutritious and balanced diet tables keep them more healthful. <TR>Thus</TR> I think balanced and nutritious diet tables help for people to live longer than the past.</SI2></BO2>

<CO><TR>All in all</TR>, I strongly think that human-beings live longer than the past. The reason why I think like this is not only because the medical techniques have improved, but also the diet tables have more nutritious than the past. Of course there are a lot of reasons to consider, I believe there is no substitution for afore-mentioned things.</CO>",::,4,::,3,::,4,::,4,::,4,::,4,::,4,::,4,::,3,::,"This is an above average quality essay. There is adequate structure between the parts of the essay to move the essay from the introduction thru to the conclusion. The thesis statement is only partially complete as it either makes only a position or provides a preview of the main points, not both as required. There is an adequate number of transitions in this essay though not optimal. Either too many or too few transitions can get in the way or otherwise detract from the reading of this essay. The main ideas in the body paragraphs are forceful and support the thesis statement but have trouble connecting through to the conclusion. The supporing ideas in the body paragraphs are forceful and support the thesis statement but have trouble connecting through to the conclusion. There were many word choice issues as well as errors in punctuation and grammar.",//
